,Job Title,Location,Post Time,Job Attributes,Job Description
82,Senior Technical Support Engineer - Network Engineer,N/A,Mon 16 Mar 06:27:45 AM,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post



Panduit
Senior Technical Support Engineer - Network Engineer
Job Label: PANDATLONA-SupportEngineernNetwork
You're the Network Engineer that everyone goes to when no one else can solve the problem. And then, you often know the answer without researching it, or you know exactly where to go to find the right answer. Mentoring may not be part of your official title as a Senior Technical Support Engineer - but you do it every day with Level I and Level II Engineers. You've been a road warrior, and now you're eager for better work/life balance, and you only want to work for a leading-edge Networked AV company. You are the ideal candidate for Atlona's Senior Technical Support Engineer position!
Atlona provides equal employment opportunity to all employees and applicants, regardless of a person’s age, race, color, physical or mental disability, genetic information, gender, gender identity or expression, marital status, medical condition, ancestry, military or veteran status, national origin, religion, religious creed, sex, sexual orientation, or any other protected status under federal, state, or local law.
Founded in 2003, Atlona has been designing and engineering award-winning products for a diverse range of residential AV and commercial AV/IT markets, including education, business, government, entertainment and healthcare. The company attracts progressive, agile and entrepreneurial leaders that have strong business acumen combined with a customer centric orientation. Atlona offers a fast paced, and creative environment where employees around the world can grow and evolve to keep up with the speed of technological advancements continually reshaping the industry. Committed to changing the world, Atlona offers its employees a culture where they can pursue their professional and personal interests and love what they do. Atlona is seeking trailblazers and out of the box thinkers. Our employees are shaping the world of tomorrow, and driving innovation. We invite you to explore the job opportunities available at Atlona.
 
What You'll Do:
Reporting to the Technical Services Director, you will enjoy working at our new San Jose facility with its open floor plan, abundant parking, easy access to public transportation, and choice of restaurants within walking distance. Your mission as a Senior Technical Support Engineer will be to delight our customers with your amazing service and your knowledge of our products and systems. You will also serve as a role model and mentor to our Level I and Level II Technical Support Engineers. Your responsibilities will include:

Resolving escalated issues that less experienced engineers have been unable to resolve
Replicate difficult issues to determine possible fixes/resolution for domestic and international customers
Become the Subject Matter Expert in our technologies and products
Intercepting any Tier II escalations that deserve an expert analysis and follow-up (act as International liaison support/major partner support lead)
Collaborate with Engineers and other internal resources as needed for escalation path, to provide pertinent data to resolve the cases involving Atlona’s multi-range AV products and clearly document those processes in the CRM system
Engage yourself and the team with developing material for Atlona product training videos based on the topmost FAQs
Participate in solutions creation, lead solution reviews, and conduct tech lunches at least every other quarter
Able to travel and support customer on-site (20~25%).

What You'll Bring:

Bachelor's Degree in Computer Science OR equivalent training and experience
Solid Knowledge of  Network Routers, Switches, Wireless Access Points and Firewalls
Experience with Video Conferencing systems (Cisco, Polycom, Lifesize)
CCNA certification or equivalent knowledge and experience is a plus
Experience with Jira or Zendesk is a plus
Detail-oriented, team player with superb written and oral communication skills
Desire to grow your leadership qualities, mentor others, and contribute your talents to our company
Ability to work in a dynamic and growing start-up environment. 




        To apply for this position or refer someone you know, please use our online interview system managed by HireMojo.

    
Apply for this job
https://app.hiremojo.com/mojo/ce/482159888/Panduit/California/San-Jose/Senior-Technical-Support-Engineer?sourceType=9

        Once you have completed the interview, your information will be forwarded to the recruiting team for decisions on next steps.
    

Related Keywords: HDMI, EDID, RS-232, IR, cabling (TP, UTP), TCP/IP, Technical Support Engineer, Networked A/V, AV over IP, CTS, CTS-I, CTS-D, CCNA, installation, installer, IC, CCIE, leadership, mentoring, ticketing, escalation, troubleshooting, Cisco Catalyst, Cisco, Arista, Extreme Networks

"
83,Senior Technical Support Engineer - ProAV (Audio Visual),N/A,Mon 16 Mar 06:10:43 AM,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post



Panduit
Senior Technical Support Engineer - ProAV (Audio Visual)
Job Label: PANDATLONA-TechSupportAV
You're the Sr. Support Engineer that everyone goes to when no one else can solve the problem. And then, you often know the answer without researching it, or you know exactly where to go to find the right answer. Mentoring may not be part of your official title as a Senior Technical Support Engineer - but you do it every day with Level I and Level II Engineers. You've been a road warrior, and now you're eager for better work/life balance, and you only want to work for a leading-edge Networked AV company. You are the ideal candidate for Atlona's Senior Technical Support Engineer position!
What You'll Do:
Reporting to the Technical Services Director, you will enjoy working at our new San Jose facility with its open floor plan, abundant parking, easy access to public transportation, and choice of restaurants within walking distance. Your mission as a Senior Technical Support Engineer will be to delight our customers with your amazing service and your knowledge of our products and systems. You will also serve as a role model and mentor to our Level I and Level II Technical Support Engineers. Your responsibilities will include:

Resolving escalated issues that less experienced engineers have been unable to resolve
Replicate difficult issues to determine possible fixes/resolution for domestic and international customers
Become the Subject Matter Expert in our technologies and products
Intercepting any Tier II escalations that deserve an expert analysis and follow-up (act as International liaison support/major partner support lead)
Collaborate with Engineers and other internal resources as needed for escalation path, to provide pertinent data to resolve the cases involving Atlona’s multi-range AV products and clearly document those processes in the CRM system
Engage yourself and the team with developing material for Atlona product training videos based on the topmost FAQs
Participate in solutions creation, lead solution reviews, and conduct tech lunches at least every other quarter
Able to travel and support customer on-site (20~25%).

What You'll Bring:

Bachelor's Degree in Computer Science OR equivalent training and experience
Solid Experience in programing Automation Systems, such as Crestron or AMX
Full understanding of Audio DSP configuration and fully familiar with QSC or Biamp programing.
Previous experience with Networked Audio deployments
Solid Knowledge of  Network Routers, Switches, Wireless Access Points and Firewalls
Experience with Video Conferencing systems (Cisco, Polycom, Lifesize)
CCNA certification or equivalent knowledge and experience is a plus
Experience with Jira or Zendesk is a plus
Detail-oriented, team player with superb written and oral communication skills
Desire to grow your leadership qualities, mentor others, and contribute your talents to our company
Ability to work in a dynamic and growing start-up environment. 

Atlona provides equal employment opportunity to all employees and applicants, regardless of a person’s age, race, color, physical or mental disability, genetic information, gender, gender identity or expression, marital status, medical condition, ancestry, military or veteran status, national origin, religion, religious creed, sex, sexual orientation, or any other protected status under federal, state, or local law.
Founded in 2003, Atlona has been designing and engineering award-winning products for a diverse range of residential AV and commercial AV/IT markets, including education, business, government, entertainment and healthcare. The company attracts progressive, agile and entrepreneurial leaders that have strong business acumen combined with a customer centric orientation. Atlona offers a fast paced, and creative environment where employees around the world can grow and evolve to keep up with the speed of technological advancements continually reshaping the industry. Committed to changing the world, Atlona offers its employees a culture where they can pursue their professional and personal interests and love what they do. Atlona is seeking trailblazers and out of the box thinkers. Our employees are shaping the world of tomorrow, and driving innovation. We invite you to explore the job opportunities available at Atlona.
 



        To apply for this position or refer someone you know, please use our online interview system managed by HireMojo.
    

Apply for this job: 
https://app.hiremojo.com/mojo/ce/482157437/Panduit/California/San-Jose/Senior-Technical-Support-Engineer?sourceType=9

        Once you have completed the interview, your information will be forwarded to the recruiting team for decisions on next steps.
    

Related Keywords: HDMI, EDID, RS-232, IR, cabling (TP, UTP), TCP/IP, Technical Support Engineer, Networked A/V, AV over IP, CTS, CTS-I, CTS-D, CCNA, installation, installer, IC, CCIE, leadership, mentoring, ticketing, escalation, troubleshooting, Cisco Catalyst, Cisco, Arista, Extreme Networks
"
84,Telephone and internet researcher,Remote,Sun 15 Mar 10:07:21 AM,"
compensation: We request contractors suggest their hourly rate and we will select from the offers accordingly.

employment type: contract

","

QR Code Link to This Post


We are looking for individuals with strong communication skills to reach out to businesses to ask questions about their policies. We will provide a telephone script and instructions to send us the information collected.

Location: This job is remote, you perform the work on your own time and at a location of your choice. We may require an initial meeting with you, either in person or via teleconference, to go over the details of the work. If in person, this meeting would be in San Jose / South SF Bay area. 

Compensation: you suggest your own rates, we have a budget set aside for this work.

Preferred Qualifications:
 - Diligent information collection capabilities
 - Strong attention to detail
 - Accurate results in specific formats into our systems
 - Professional demeanour, ability gracefully solicit accurate answers from untrained staff 
 - Patience, as the telephone research requires frequent time spent on hold
 - Ability to use Google docs, sheets, Google Maps and Google Earth
 - Must have a gmail account to be able to share the Google-based documentation

Interested? Please respond to this post with your resume, your target hourly rate, and a statement about why we should select you as our researcher. Optional: send us two examples about your prior research work, and two professional references.

We will respond only to candidates whose services we are interested in engaging.
"
85,Executive Assistant,mission district,Fri 13 Mar 05:08:25 PM,"
compensation: TBD

employment type: contract

","

QR Code Link to This Post


Our client, a leading software company that focuses on subscription management, is seeking an outstanding C-Level Executive Assistant to support their VP of Sales at their San Mateo office. Our ideal candidate will take a thoughtful approach to complex scheduling and project management. Your expert ability to stay on task coupled with your commitment to the highest level of service will help you succeed in this role supporting a high-achieving executive. 

This is a 4-6-month contract role with full-time hours.

Responsibilities:
•	Oversee the VP of Sales’ extensive calendar; coordinate seamlessly between internal teams, clientele, and personal associates
•	Coordinate and execute senior-level internal and external meetings and special events
•	Prepare for meetings – create presentations and reports, book and organize rooms, etc.
•	Arrange domestic and international travel, creating point-to-point itineraries and agendas
•	Take charge of expense reporting and invoice approval
•	Serve as gatekeeper for phone and email inboxes; answer questions and facilitate correspondence with clients
•	Maintain internal files and confidential documents
•	Perform general administrative duties and ad-hoc projects as needed

Qualifications:
•	5-7+ years’ experience supporting C-level executives
•	Experience with extensive calendar management required
•	Proficiency in MS Office applications
•	Excellent written and verbal communication skills
•	Demonstrated capacity to multitask and prioritize multiple projects
•	Discreet and sophisticated attitude
•	Meticulous attention to detail and organization
•	Outgoing with excellent judgement
•	Strong relationship building skills

You can use www.workgrades.com to collect and manage your references for free and share them with us or anyone else you choose.

We suggest that you ensure you have updated your LinkedIn profile and that you start collecting your references early.

We will consider qualified candidates with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. "
86,Back-End Application Engineering Manager,potrero hill,Fri 13 Mar 01:42:38 PM,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


We built Mode from the ground up as the best product for Analysts and Data Scientists. But as we grow, we find ourselves serving far broader audiences — entire companies from Finance to Operations to Marketing to Engineering, and everything in between. For many of our customers, we are the source of truth for analytical decision making.

As we grow, our challenge is to building new experiences for larger audiences interested in leveraging data, while maintaining an experience that analysts trust to power their day to day. Mode's engineering team is entrusted with delivering on that vision and we are looking to bring in an empathic leader to help inspire the team to perform and grow at the highest level.

What you'll do:
Mentor, manage and grow a team of back-end engineers
Participate in code reviews and technical leadership
Define and enforce quality standards and review processes
Work cross-functionally with the other members of the engineering and product team to ensure that the team is delivering value to Mode's business
Work with engineering leadership to develop career pathing and manage performance of your team members
Contribute to engineering-wide initiatives as part of the engineering management team

What we look for:
Prior management experience
Strong software development background (this team primarily uses Ruby, but we are open to hiring engineers who have experience with other technologies as well)
High degree of empathy and concern for team and individual outcomes
Alignment with Mode's values

About Mode:
Mode is a collaborative analytics platform that brings teams together around data to make game-changing decisions.

In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:
Generous, flexible PTO and family leave
Flexible work schedules—we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth—Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table

Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    "
87,Front-End Engineering Manager,potrero hill,Fri 13 Mar 01:41:04 PM,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


We built Mode from the ground up as the best product for Analysts and Data Scientists. But as we grow, we find ourselves serving far broader audiences — entire companies from Finance to Operations to Marketing to Engineering, and everything in between. For many of our customers, we are the source of truth for analytical decision making.

As we grow, our challenge is to building new experiences for larger audiences interested in leveraging data, while maintaining an experience that analysts trust to power their day to day. Mode's engineering team is entrusted with delivering on that vision and we are looking to bring in an empathic leader to help inspire the team to perform and grow at the highest level.

What you'll do:
Mentor, manage and grow a team of front-end engineers
Participate in code reviews and technical leadership
Define and enforce quality standards and review processes
Work cross-functionally with the other members of the engineering and product team to ensure that the team is delivering value to Mode's business
Work with engineering leadership to develop career pathing and manage performance of your team members
Contribute to engineering-wide initiatives as part of the engineering management team

What we look for:
Prior management experience
Strong software development background (this team primarily uses JavaScript/TypeScript, but we are open to hiring engineers who have experience with other technologies as well)
High degree of empathy and concern for team and individual outcomes
Alignment with Mode's values


About Mode:
Mode is a collaborative analytics platform that brings teams together around data to make game-changing decisions.

In everything we do, we strive to put the people we do it for first. This starts internally: together we're building a culture that embraces diversity and learning, humility and gratitude. At the same time, we try not to take ourselves too seriously and strive for a healthy balance between work and personal pursuits.

Benefits you can expect as a Mode employee:
Generous, flexible PTO and family leave
Flexible work schedules—we trust you to know what will make yourself most productive
Generous professional development policy that includes funds earmarked for each employee's discretionary professional growth—Have a conference you want to attend? A class you want to take? If it's helping take your career to the next level, it's on us.
Excellent health coverage for team members and their families (Mode pays the 100% of the premiums)
Supportive work environment and a manager who is focused on your professional growth
Company events that highlight our team's passions and hobbies
Snacks and in-office lunches shared at our ever-growing lunch table

Mode is committed to building an inclusive and diverse workforce. We are an Equal Opportunity Employer and welcome people from all backgrounds, experiences, abilities and perspectives.    "
88,Customer Software Support,santa rosa,Fri 13 Mar 10:31:56 AM,"
compensation: Negotiable

employment type: full-time

","

QR Code Link to This Post


We are looking for an Customer Software Support person. The successful candidate must process strong communication skill, strong work ethic, high personal integrity, attention to detail, and excellent organization skills, and the able to work with minimum management in a fast-paced environment.

Qualifications:

* The ideal candidate will have 2+ years of support experience
* Bachelor's degree in Computer Science a plus
* Ability to work in a dynamic environment and interact positively with customers is crucial
* Exceptional trouble shooting skills.
* Results orientated, initiative, and reliability
* Experience with Software support
* Prior experiences with ticketing systems, remote control tools and Managed Service environments will be a plus
* Additional ability to understand and modify C++, PHP, and other program languages a PLUS.
* Additional experience setting up / maintaining Linux server software will be a plus

Work Duties Include But Not Limited to:

* Interact with our clients in a customer support / technical software support role
* Develop and maintain knowledge of customer's specific details
* Work with clients remotely
* Ability and desire to conduct on-site installation and troubleshooting (current Passport a plus)
* Work within our development and technical team to provide top notch customer support
* Provide technology expertise to clients as their trusted adviser

Comprehensive benefits package

* Paid Time Off
* Company paid holidays
* Health, dental, and vision insurance benefits    "
89,IT Project Manager,downtown / civic / van ness,Thu 12 Mar 01:52:28 PM,"
compensation: Commensurate with education and experience, W-2, 1099, or C2C, must be in US without sponsorship

employment type: contract

","

QR Code Link to This Post


Sierra Cybernetics is seeking full a time IT Project Manager Consultant with experience managing large and complex technology projects that include data warehousing, translation, data engineering, implementations, deployments and upgrades to work for us at our government client’s site in downtown San Francisco.

You will be coordinating with our client’s Data Analytics Pilot team and will provide the expertise needed to manage interrelated projects involving, but not limited to, data warehousing and data integration as related to the Pilot Project.

You will be developing, managing, and maintaining project plans for multiple implementations, coordinate with multi-disciplinary teams, third-party vendors, and stakeholders, to ensure the timely completion of the project.

This assignment is expected to last 1 – 2 years or more.

Minimum Job-Specific Skills/Qualifications Required (in order of relative importance):
1.	Proven track record in leading, organizing, and coordinating multiple work activities simultaneously.
2.	Proven track record in delivery of on-time, on-budget projects with a high degree of user satisfaction and quality.
3.	Proven track record implementing varying principles and techniques of project management, including the ability to develop and track complex project plans, manage risks, manage scope, and manage resources.
4.	Experience applying project management skills to integration projects; data mapping and validation; data warehousing and engineering.
5.	Knowledge of principles of data analytics, data driven decision-making, statistical reporting, data warehousing, and data engineering (aka ETL processes).
6.	Proven track record of managing complex relationships among stakeholders on a project which has significant executive oversight.
7.	Proven track record of building coalitions among various stakeholders using excellent conflict resolution skills, where needed.
8.	Experienced at establishing and maintaining effective working relationships.
9.	Experienced with the principles of full life cycle systems design, development, and deployment.
10.	Experienced with providing clear goals, responsibilities, and providing measurable performance and feedback.
11.	Excellent analytical capabilities and the ability to breakdown complex ideas into manageable pieces.
12.	Excellent written and verbal communication skills, with both technical and non-technical audiences, including creating and presenting executive summaries to steering committees and other executive level leadership.
13.	Experienced with MS Office applications including Word, Excel, Project, and Visio.
14.	Knowledge of digital government and digital government strategies.
15.	Ability to identify and evaluate alternative solutions, costs and benefits.
16.	Ability to communicate effectively in English, orally and in writing.

Additional Skills/Qualifications Desired:
•	Experience applying Project Management skills to implementation, configuration, and roll-out of a fully integrated data warehousing, business intelligence and reporting systems.
•	Recent experience within government agencies or public bodies with projects of a similar type.
•	Certified Project Manager (PMP) with Agile/Scrum training and certification.
"
90,Senior Angular Developer for Winery Management Software,napa county,Thu 12 Mar 12:14:13 PM,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


InnoVint is a web app for winemakers that powers many US wineries. We are looking for an excellent Front End Developer specifically well versed in Angular, Typescript, and CSS. We've been in business for 6 years, we service over 350 wineries, and are generating enough revenue to sustain the company and grow indefinitely. Revenue continues to grow every year.

We are a large remote team of 12, with folks residing in SF, Napa, Portland, New York, Winnipeg, San Diego, Washington. Our employees contribute significant work to the platform remotely, from ski cabins in Tahoe to Brooklyn apartments. You'll have the freedom to set your own hours and work wherever pleases you, although we will meet up occasionally in the Bay Area and Portland. We plan for two trips a year where the full team gets together to discuss product, brainstorm, cook, and drink really expensive wine. Don't worry if your palate is atrocious -- us engineers still struggle with it after all these years.

In terms of engineering problems, we are in a fascinating space. The domain has unique and novel problems to solve. We frequently visit beautiful wineries to understand their challenges and then help deliver tangible solutions for their operations. We are a team of friends and professionals who thoroughly enjoy what we do.

Our current goals are to optimize data capture for our wineries, which includes storing their extensive analytics, integrating with hardware sensing companies, modeling complex winemaking activities, tracking costs, and furthering our slick digital work order platform.

Technical details & requirements:
You will be focused on advancing our critical Angular + AngularJS web application. In fact, you will take eventually take ownership of this codebase, managing all future development, making foundational changes to the platform, and continuously working on bug fixes.

You must be a master at AngularJS and Angular 2+ and have used, hopefully extensively, the ng-upgarde module to use AngularJS components within an Angular app, and vice versa. You'll be an excellent candidate if you stay up on all things Angular. Do you know what Ivy is? Are you excited about PWAs? Do you swear by Typescript? RxJS?

Your time will be spent on new feature development as well as the continued migration of our AngularJS codebase to Angular, all while working closely with our winemakers and product development team to implement the business logic that runs our web app.

You Should Have Extensive Experience And Knowledge Of:
— Angular & AngularJS.
— CSS
— SAS. 
— RESTful API Development for web applications
— Webpack
— All the other obvious ones like git that come with modern web app development.

Our tech stack:
— Python/Django back end
 — PostgreSQL DB  
— Google cloud engine
—  AngularJS & Angular4 web app
— Native iOS app (available on the app store)
— NGINX  
— Bitbucket managed continuous deployment for all platforms

You'll be reporting to the CTO (me!) and will become my right-hand human. This is a full-time role with a preference for people on the west coast, but we are fully open to anywhere in North America. Looking forward to adding someone new to our team! 🍷🍷🍷


https://www.innovint.us/
https://www.capterra.com/p/144038/InnoVint/ "
91,Sr. Business Systems Analyst,downtown / civic / van ness,Thu 12 Mar 11:03:47 AM,"
compensation: Commensurate with education and experience, W-2, 1099, or C2C, must be in US without sponsorship

employment type: contract

","

QR Code Link to This Post


Sierra Cybernetics is seeking a part time (average 32 hours per week) Sr. Business Systems Analyst consultant to work for us at our government client’s site in downtown San Francisco.

You will under the direction of our client’s management and staff and will provide needed expertise to facilitate the user experience, usability, data analytics, web content management and design research for the Self Represented Litigants (SRL) Digital Service Project, in collaboration with the Web Services team.

This assignment is expected to last 1 – 2 years or more.

Minimum Job-Specific Skills/Qualifications Required (in order of relative importance):
1.	Equivalent to possession of a bachelor’s degree, preferably with major course work in design, UX Design, web analysis, and content strategy
2.	Proven track record in leading enterprise wide UX, user research, and design initiatives; government agency experience preferred
3.	Proven track record organizing and coordinating multiple work activities
4.	Proven track record of delivering work products on-time, on-budget, and with a high degree of user satisfaction and quality
5.	Experienced in research, quantitative and qualitative data, with expertise in usability studies, including the facilitation of user testing, interviews, surveys, and other research methodologies
6.	Experienced with user-centered design, with expertise in creating and evaluating design solutions
7.	Experienced with visual design and prototyping
8.	Experienced with agile project management methodologies
9.	Experienced with the principles of full life cycle systems design and development
10.	Experienced with the principles and techniques of program design, development, testing, and documentation.
11.	Experienced at establishing and maintaining effective working relationships
12.	Experienced with information architecture for enterprise-wide systems such as multi-tier, distributed and web-based system architecture and development principles, and internet/intranet application delivery mechanisms
13.	Knowledge of web technologies, front-end development, and back-end development
14.	Knowledge of relational database management systems
15.	Knowledge of object-oriented design and programming architectures and design patterns
16.	Knowledge of digital government and digital government strategies 
17.	Ability to identify and evaluate alternative solutions, costs and benefits
18.	Ability to communicate effectively in English, orally and in writing
19.	Ability to build coalitions among the various stakeholders using excellent conflict resolution skills, where needed
20.	Excellent analytical capabilities and the ability to breakdown complex ideas into manageable pieces
21.	Excellent written and verbal communication skills, with both technical and non-technical audiences, including creating and presenting executive summaries to steering committees and other executive level leadership
22.	Proficiency with MS Office applications including Word, Excel, Project, and Visio
23.	Proficiency with Adobe Creative Suite, including Photoshop, Illustrator, InDesign, Dreamweaver
24.	Proficiency with prototyping tools

Additional Skills/Qualifications Desired:
•	Recent experience within government agencies or public bodies with projects of a similar type.
•	Experience in leading multiple work groups simultaneously
"
92,Java Developer  &  QA Automation Engineer,san jose downtown,Thu 12 Mar 10:17:32 AM,"
compensation: 55-65/hr

employment type: contract

","

QR Code Link to This Post


QA Automation Engineer (3 positions)
  Strong programming/scripting experience and passion for testing
  Minimum 5 years of experience in Java development
  Minimum 5 years of experience in Software Quality Assurance (QA)
  Minimum 3 years of experience with TestNG, Maven, SureFire
  Experience with CI/CD tools (Jenkins experience preferred)
  Experience writing SQL queries (Oracle DB experience preferred)
  Experience with JIRA, GIT
  Agile/Scrum experience
  Excellent communication skills / Comfortable working in a collaborative environment
  Self-motivated, highly driven
  3+ years of experience with web-services testing (Rest/SOAP)
  3+ Years Experience with Selenium

Java Developer ( 5 positions)
  Bachelor's Degree in Computer Science or related field and 6 years' experience building scalable e-commerce applications
  5+ years of experience with building scalable, high performing and robust Java applications
  Experience in solving Algorithmic questions
  Experience with Eclipse or other IDE development tools
  Experience with Continuous Integration and related tools (i.e. Jenkins, Hudson, Maven)
  Experience with Code Quality Governance related tools (Sonar, Gerrit, PMD, FindBugs, Checkstyle, Emma, Cobertura, etc)
  Experience with Source Code Management Tools (Github)
  Knowledge of standard tools for optimizing and testing code
  Ability to operate effectively and independently in a dynamic, fluid environment
  Experience developing using J2EE technologies such as Spring, Hibernate,Java Web Services
  Experience developing with web/app containers such as Apache/Tomcat, Jboss
  Experience developing using relational databases such as Oracle or MySQL

Email me if you have any resource jobs@keyutech.com /sapna@keyutech.com    "
93,Autonomous Vehicle Operator | Baidu USA,mountain view,Thu 12 Mar 10:12:23 AM,"
compensation: Competitive

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Baidu USA, one of the R&D centers of Baidu, China’s largest search engine provider,  is growing their team of Autonomous Vehicle Operators.HireArt is looking to hire an Autonomous Vehicle Operator to work at Baidu USA’s Sunnyvale location on a contract basis. In this role, you'll operate test vehicles to directly evaluate and improve their technologies. You will be uniquely positioned to contribute to an exciting team that is leveraging artificial intelligence, deep learning, big data, advanced hardware, and high definition maps toward the goal of commercializing autonomous driving.The ideal candidate is passionate about the Autonomous Vehicle industry, enjoys facing challenges, can quickly adapt to new processes, and is eager to add value with their feedback. You'll get to work with a high caliber, talented team, learn new skills, and be introduced to advanced software and hardware environments.This is a full-time, 4-month contract role through HireArt which may require some flexibility in schedule to accommodate testing during different weather conditions.As a HireArt employee you'll receive:
Employer-subsidized health, vision, and dental insurance
Employer-subsidized life insurance
Employer-subsidized short and long-term disability insurance
Responsibilities:
Master vehicle operations processes and practices
Provide detailed feedback on the technology 
Be a voice of Apollo, an open source autonomous driving platform, to our partners, self-driving enthusiasts & curious onlookers


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


Requirements

BA/BS degree or comparable relevant experience. 
Valid US driver's license with at least 7 years of driving experience and a clean driving record 
Must have a sound understanding of autonomous vehicle technology

Strong desire to learn new skills and technologies
Strong communication skills, both verbal and written
You are a great collaborator and team player
Experience with Linux Operating System
Nice to Have but Not Required
Fluent in Chinese (Mandarin)
Proficient in Microsoft Office Suite
Experience with public demonstrations
 Commitment: This is a full-time (40 hours per week), 4-month contract position through HireArt and based in Sunnyvale, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply


About Baidu USA
Located in the heart of Silicon Valley, Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields. Baidu USA is comprised of four groups: Baidu Research US, Intelligent Driving Group US, Baidu USDC and Smart Living Group US. At Baidu USA, we act with the nimbleness of a startup, but as a global company, have access to immense computing resources and data. This makes Baidu USA the best place for those working in AI to see their work developed and potentially deployed to hundreds of millions of users. The name Baidu was inspired by a poem written more than 800 years ago during China's Song Dynasty. Baidu, whose literal meaning is “hundreds of times,” represents a persistent search for the ideal.

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/40acbaec/apply

 "
